,comments
0," LOGGER.debug(""Mode LINK"");"
1, VBox contextPanel = new VBox(10);
2, for (int j = 0; j < markers.length; j++) {
3, BibEntry firstEntry = entries.get(0);
4,        btnConnect.disableProperty().bind(viewModel.formValidation().validProperty().not());
5,        }
6, ExternalFileType found = null;
7,        mainStage.showingProperty().addListener(new ChangeListener<Boolean>() {
8, BackgroundTask
9,                    defTypes.remove(found);
10, return;
11,        m_modifiedSubtree.clear();
12, public void toggle(SidePaneType type) {
13, @FunctionalInterface
14," TABLE_ICONS.put(StandardField.PDF, icon);"
15, List<ExternalFileType> types = new ArrayList<>(getDefaultExternalFileTypes());
16," LOGGER.info(""Cannot rename string '"" + mem + ""' to '"" + disk + ""' because the name """
17, public Optional<ExternalFileType> getExternalFileTypeByName(String name) {
18,        database.getDatabase().insertEntries(entries);
19,public class NewSubLibraryAction extends SimpleCommand {
20, private void startSearch() {
21, public boolean isGeneratedNameSameAsOriginal() {
22,"                    fieldChanges.add(new FieldChangeViewModel(field, memEntry, tmpEntry, mem.orElse(null), tmp.get(), disk.get()));"
23,public class JabRefExecutorService {
24,"        getOpenDatabaseAction().openFile(file, true);"
25, public void requestFocus(Field fieldName) {
26, public void setPasteActionHandler(PasteActionHandler handler) {
27, private void onSelectedGroupChanged(ObservableList<GroupNodeViewModel> newValue) {
28, for (BibEntry entry : pr.getDatabase().getEntries()) {
29, private GridPane getSelectorPanel() {
30, private void onActiveDatabaseChanged(Optional<BibDatabaseContext> newDatabase) {
31," String[] cmd = (application != null) && !application.isEmpty() ? new String[] {""/usr/bin/open"", ""-a"","
32,        keywordGroupSearchField.setText(prefs.get(JabRefPreferences.GROUPS_DEFAULT_FIELD));
33,                    clonedEntry.getField(StandardField.CROSSREF).ifPresent(crossref -> {
34," SpecialFieldViewModel printedViewModel = new SpecialFieldViewModel(SpecialField.PRINTED, undoManager);"
35, private String[] getStringArrayRepresentation(ExternalFileType type) {
36, String newText = abbreviation.getName();
37, public void writeOrCreate() throws IOException {
38, private static Image getImageFX(String name) {
39,            root.setSelected(true);
40, GlobalBibtexKeyPattern keypatterns = getKeyPatternAsGlobalBibtexKeyPattern();
41," TABLE_ICONS.put(fileType.getField(), icon);"
42, public static Supplier<List<MenuItem>> getNameMenu(final TextInputControl textInput) {
43,"                        uniquefiers.put(key, String.valueOf((char) uniq));"
44, for (Iterator<Path> iterator = filesToOpen.iterator(); iterator.hasNext();) {
45, public void automatedImport(List<String> filenames) {
46, if ((directory == null) || !directory.exists() || !directory.isDirectory()) {
47,        stateManager.activeDatabaseProperty().bind(
48," QUALITY_ASSURED(MaterialDesignIcon.CERTIFICATE), /*css: certificate */"
49," TABLE_ICONS.put(StandardField.FILE, icon);"
50, if (filenames.isEmpty()) {
51,"        addToGroups(entries, stateManager.getSelectedGroup(database));"
52, private final int m_subtreeRootChildCount;
53, public void searchButtonClicked() {
54, // FIXME: prefix can be removed?!
