,type,comment,non-information,code,functional_type
0,Javadoc,@implNote taken from {@link com.sun.javafx.scene.control.behavior.TextAreaBehavior#contextMenuRequested(javafx.scene.input.ContextMenuEvent)},1,public static void showContextMenu(TextArea textArea,method_declaration
1,Line,icon.setToolTipText(printedViewModel.getLocalization()),1,TABLE_ICONS.put(SpecialField.PRINTED,method_call
2,Line,Synchronize changes of the underlying date value with the temporalAccessorValue,0,BindingsHelper.bindBidirectional(valueProperty(),method_call
3,Javadoc,Ask if the user really wants to close the given database,1,private boolean confirmClose(BasePanel panel) {,method_declaration
4,Block,css: information *,0,INTEGRITY_INFO(MaterialDesignIcon.INFORMATION),method_declaration
5,Line,"Check if there is a default type with the same name. If so, this is a modification of that type, so remove the default one:",0,ExternalFileType toRemove = null;,assignment
6,Line,each entry type,1,for (Map.Entry<EntryType,method_declaration
7,Line,"TODO: Username, domain and identity should be included as in .NET version. TODO: Should check, seems that it is not included in Log4j2.",0,return metaData;,return
8,Line,"Already parsed via command line parameter, e.g., ""jabref.jar somefile.bib""",0,if (isLoaded(dbFile) || !dbFile.exists()) {,method_declaration
9,Line,finally add things to the currently opened tab,1,for (ParserResult pr : toOpenTab) {,method_declaration
10,Line,"To simplify the exporter API we simply do a normal export to a temporary file, and read the contents afterwards:",0,"tmp = Files.createTempFile(""jabrefCb""",assignment
11,Javadoc,This class monitors a set of files for changes. Upon detecting a change it notifies the registered {@link FileUpdateListener}s. Implementation based on https://stackoverflow.com/questions/16251273/can-i-watch-for-single-file-change-with-watchservice-not-the-whole-directory,0,public class DefaultFileUpdateMonitor implements Runnable,class_declaration
12,Line,for AutoGroup,0,"private final RadioButton autoGroupKeywordsOption = new RadioButton(Localization.lang(""Generate groups from keywords in a BibTeX field""));",assignment
13,Javadoc,"Creates a new list in which each element is converted using the provided mapping. All changes to the underlying list are propagated to the converted list. In contrast to {@link org.fxmisc.easybind.EasyBind#map(ObservableList, Function)}, the items are converted when the are inserted (and at the initialization) instead of when they are accessed. Thus the initial CPU overhead and memory consumption is higher but the access to list items is quicker.",0,public static <A,
14,Javadoc,Sets the {@link Consumer} that is invoked after the task has failed with an exception. The consumer always runs on the JavaFX thread.,0,public BackgroundTask<V> onFailure(Consumer<Exception> onException) {,method_declaration
15,Line,"/ TODO: Add undo final UndoableModifySubtree undo = new UndoableModifySubtree(getGroupTreeRoot(), node, ""Remove subgroups""); panel.getUndoManager().addEdit(undo);",0,group.getGroupNode().removeAllChildren();,method_call
16,Line,db file exists,1,if (basePanel.getBibDatabaseContext().getDatabaseFile().isPresent()) {,method_declaration
17,Line,"Another (unlikely?) possibility is that both disk and mem version has been modified in the same way. Check for this, too.",0,boolean modificationsAgree = (DuplicateCheck.compareEntriesStrictly(memEntry,assignment
18,Line,Should only occur when preferences are set directly via preferences.put and not via setFirstnameMode,0,return AutoCompleteFirstNameMode.BOTH;,return
19,Line,"Dir must be a folder, not a file",1,} else {,
20,Javadoc,This method is called when the user presses OK in the Preferences dialog. This calls the appropriate method in the ViewModel.,0,void storeSettings();,method_declaration
21,Line,TODO: doesn't work for citations in footnotes/tables,0,List<String> names = getSortedReferenceMarks(nameAccess);,assignment
22,Line,Save,1,save();,method_declaration
23,Javadoc,Constructor with optional column captions for the two entries,0,public MergeEntries(BibEntry entryLeft,method_declaration
24,Line,"If content selector values are present, then we want to show the auto complete suggestions immediately on focus",0,autoCompleter.setShowOnFocus(true);,method_call
