,type,comment,non-information,code,functional_type
0,Javadoc,@implNote taken from {@link com.sun.javafx.scene.control.behavior.TextAreaBehavior#contextMenuRequested(javafx.scene.input.ContextMenuEvent)},1,"public static void showContextMenu(TextArea textArea, ContextMenu contextMenu, ContextMenuEvent e) {",method_declaration
1,Line,icon.setToolTipText(printedViewModel.getLocalization()),1,"TABLE_ICONS.put(SpecialField.PRINTED, icon);",method_call
2,Line,Synchronize changes of the underlying date value with the temporalAccessorValue,0,"BindingsHelper.bindBidirectional(valueProperty(), temporalAccessorValue,",method_call
3,Javadoc,Ask if the user really wants to close the given database,1,private boolean confirmClose(BasePanel panel) {,method_declaration
4,Block,css: information *,0,"INTEGRITY_INFO(MaterialDesignIcon.INFORMATION),",method_declaration
5,Line,"Check if there is a default type with the same name. If so, this is a modification of that type, so remove the default one:",0,ExternalFileType toRemove = null;,assignment
6,Line,each entry type,1,"for (Map.Entry<EntryType, TextField> entry : textFields.entrySet()) {",loop
7,Line,"TODO: Username, domain and identity should be included as in .NET version. TODO: Should check, seems that it is not included in Log4j2.",0,return metaData;,return
8,Line,"Already parsed via command line parameter, e.g., ""jabref.jar somefile.bib""",0,if (isLoaded(dbFile) || !dbFile.exists()) {,conditional
9,Line,finally add things to the currently opened tab,1,for (ParserResult pr : toOpenTab) {,loop
10,Line,"To simplify the exporter API we simply do a normal export to a temporary file, and read the contents afterwards:",0,"tmp = Files.createTempFile(jabrefCb""",assignment
11,Javadoc,This class monitors a set of files for changes. Upon detecting a change it notifies the registered {@link FileUpdateListener}s. Implementation based on https://stackoverflow.com/questions/16251273/can-i-watch-for-single-file-change-with-watchservice-not-the-whole-directory,0,"public class DefaultFileUpdateMonitor implements Runnable, FileUpdateMonitor {",class_declaration
12,Line,for AutoGroup,0,"private final RadioButton autoGroupKeywordsOption = new RadioButton(Localization.lang(Generate groups from keywords in a BibTeX field""));""",assignment
13,Javadoc,"Creates a new list in which each element is converted using the provided mapping. All changes to the underlying list are propagated to the converted list. In contrast to {@link org.fxmisc.easybind.EasyBind#map(ObservableList, Function)}, the items are converted when the are inserted (and at the initialization) instead of when they are accessed. Thus the initial CPU overhead and memory consumption is higher but the access to list items is quicker.",0,"public static <A, B> MappedList<B, A> mapBacked(ObservableList<A> source, Function<A, B> mapper) {",method_declaration
14,Javadoc,Sets the {@link Consumer} that is invoked after the task has failed with an exception. The consumer always runs on the JavaFX thread.,0,public BackgroundTask<V> onFailure(Consumer<Exception> onException) {,method_declaration
15,Line,"/ TODO: Add undo final UndoableModifySubtree undo = new UndoableModifySubtree(getGroupTreeRoot(), node, ""Remove subgroups""); panel.getUndoManager().addEdit(undo);",0,group.getGroupNode().removeAllChildren();,method_call
16,Line,db file exists,1,if (basePanel.getBibDatabaseContext().getDatabaseFile().isPresent()) {,conditional
17,Line,"Another (unlikely?) possibility is that both disk and mem version has been modified in the same way. Check for this, too.",0,"boolean modificationsAgree = (DuplicateCheck.compareEntriesStrictly(memEntry, diskEntry) > 1);",assignment
18,Line,Should only occur when preferences are set directly via preferences.put and not via setFirstnameMode,0,return AutoCompleteFirstNameMode.BOTH;,return
19,Line,"Dir must be a folder, not a file",1,} else {,conditional
20,Javadoc,This method is called when the user presses OK in the Preferences dialog. This calls the appropriate method in the ViewModel.,0,void storeSettings();,method_declaration
21,Line,TODO: doesn't work for citations in footnotes/tables,0,List<String> names = getSortedReferenceMarks(nameAccess);,assignment
22,Line,Save,1,save();,method_declaration
23,Javadoc,Constructor with optional column captions for the two entries,0,"public MergeEntries(BibEntry entryLeft, BibEntry entryRight, String headingLeft, String headingRight, BibDatabaseMode type) {",method_declaration
24,Line,"If content selector values are present, then we want to show the auto complete suggestions immediately on focus",0,autoCompleter.setShowOnFocus(true);,method_call
25,Javadoc,"This is called, when the user drops some PreviewLayouts on another cell in chosenListView to sort them",0,"public boolean dragDroppedInChosenCell(PreviewLayout targetLayout, Dragboard dragboard) {",method_declaration
26,Javadoc,Helper methods for javafx binding. Some methods are taken from https://bugs.openjdk.java.net/browse/JDK-8134679,0,public class BindingsHelper {,class_declaration
27,Javadoc,Formats a String to multiple Texts by replacing some parts and adding font characteristics.,0,"public static List<Text> formatToTexts(String original, TextReplacement... replacements) {",method_declaration
28,Javadoc,Copies the given list of {@link LogEvent}s to the clipboard.,0,public void copyLog(List<LogEventViewModel> messages) {,method_declaration
29,Line,All entries had keys.,0,"JabRefGUI.getMainFrame().getDialogService().notify(Localization.lang(Copied"") + "" '"" + JabRefDialogService.shortenDialogMessage(keyAndLink) + ""'."");""",method_call
30,Line,Add radio buttons if the two entries do not have identical fields,0,if (identicalFields.contains(field)) {,conditional
31,Javadoc,Delivers possible completions as a list of {@link BibEntry} based on their cite key.,0,public class BibEntrySuggestionProvider extends SuggestionProvider<BibEntry> implements AutoCompleteSuggestionProvider<BibEntry> {,class_declaration
32,Block,css: eye *,0,"READ_STATUS(MaterialDesignIcon.EYE),",method_declaration
33,Javadoc,Method to add a new abbreviation to the abbreviations list property. It also sets the currentAbbreviation property to the new abbreviation.,0,"public void addAbbreviation(String name, String abbreviation) {",method_declaration
34,Javadoc,"Class for handling general actions; cut, copy and paste. The focused component is kept track of by Globals.focusListener, and we call the action stored under the relevant name in its action map.",0,private class EditAction extends SimpleCommand {,class_declaration
35,Javadoc,"Returns a new ObservableValue that holds the value held by this ObservableValue, or {@code other} when this ObservableValue is empty.",0,public ObjectBinding<T> orElse(T other) {,method_declaration
36,Javadoc,A command that is only executable if a database is open. Deprecated use instead,0,public class OldDatabaseCommandWrapper extends CommandBase {,class_declaration
37,Line,Define focused tab,0,if (pr.getFile().filter(path -> path.getAbsolutePath().equals(focusedFile)).isPresent()) {,conditional
38,Javadoc,A single tab displayed in the EntryEditor holding several FieldEditors.,0,abstract class FieldsEditorTab extends EntryEditorTab {,class_declaration
39,Line,"poll with timeout in case the library is not analyzed completely, but contains no more duplicates",0,"dups = this.duplicates.poll(100, TimeUnit.MILLISECONDS);",assignment
40,Javadoc,Clears the current log,1,public void clearLog() {,method_declaration
41,Javadoc,Sets a a new key bind to this objects key binding object if the given key event is a valid combination of keys.,0,public boolean setNewBinding(KeyEvent evt) {,method_declaration
42,Line,Revert the change.,1,base.setPreamble(oldValue);,method_call
43,Line,Fade new page in for smoother transition,0,"FadeTransition fadeIn = new FadeTransition(Duration.millis(100), imageView);",assignment
44,Block,css: rss *,0,"BLOG(MaterialDesignIcon.RSS),",method_declaration
45,Javadoc,Get the search describer for a given search query.,1,public static SearchDescriber getSearchDescriberFor(SearchQuery searchQuery) {,method_declaration
46,Javadoc,Does the actual operation on a Bibtex entry based on the settings specified in this same dialog. Returns the number of occurrences replaced.,0,"private int replaceItem(BibEntry entry, NamedCompound compound) {",method_declaration
47,Line,should be opened in browser,0,field = StandardField.URL;,assignment
48,Javadoc,Returns the HashMap containing all key bindings.,1,"public SortedMap<KeyBinding, String> getKeyBindings() {",method_declaration
49,Line,Add menu for fetching bibliographic information,0,ContextMenu fetcherMenu = new ContextMenu();,assignment
50,Line,ctrl on win,0,"LOGGER.debug(Mode Copy"");""",method_call
51,Javadoc,"Adds the specified node as a child of the current root. The group contained in <b>newGroups </b> must not be of type AllEntriesGroup, since every tree has exactly one AllEntriesGroup (its root). The <b>newGroups </b> are inserted directly, i.e. they are not deepCopy()'d.",0,"private static void addGroups(GroupTreeNode newGroups, CompoundEdit ce) {",method_declaration
52,Javadoc,Adds the given entries to this node's group.,1,public List<FieldChange> addEntriesToGroup(List<BibEntry> entries) {,method_declaration
53,Line,"No, we canceled (or there is no panel to get the database from, highly unlikely)",0,return false;,return
54,Line,default,1,return GroupHierarchyType.INDEPENDENT;,return
55,Line,Bug report body,1,"String issueBody = systemInfo + \n\n"" + howToReproduce + ""\n\n"" + ""Paste your log details here."";""",assignment
56,Line,Do nothing by default,1,nan,empty
57,Line,Text after the citation.,0,if (end < line.length()) {,conditional
58,Line,The only instance of this class:,1,private static ExternalFileTypes singleton;,var_declaration
59,Javadoc,"Placeholder class for a custom generic type safe dragboard to be used in drag and drop, does not depend on serialization Don't use this class directly. Use the instance provided in {@link GUIGlobals#localDragboard}",0,public class CustomLocalDragboard {,class_declaration
60,Javadoc,Search and import unknown references from associated BIB files.,0,public void importButtonClicked() {,method_declaration
61,Javadoc,A wizard dialog for generating a new sub database from existing TeX AUX file,0,public class FromAuxDialog extends BaseDialog<Void> {,class_declaration
62,Javadoc,Shows a dialog with the warnings from an import or open of a file,0,"public static void showParserResultWarningDialog(final ParserResult parserResult, final JabRefFrame jabRefFrame,",method_declaration
63,Line,get permutation array,0,int[] permutation = new int[to - from];,assignment
64,Line,Set pseudo-classes to indicate if row is root or sub-item ( > 1 deep),0,"PseudoClass rootPseudoClass = PseudoClass.getPseudoClass(root"");""",assignment
65,Line,"Don't report this error, since this getting the suffix is a non-critical operation, and this error will be triggered and reported elsewhere.",0,nan,empty
66,Line,Selected entries,1,entries = frame.getCurrentBasePanel().getSelectedEntries();,assignment
67,Line,For all fields in joint add a row and possibly radio buttons,0,int row = 2;,assignment
68,Javadoc,Puts A List of {@link PreviewLayout} in the map All previous content is cleared,0,public void putPreviewLayouts(List<PreviewLayout> previewLayouts) {,method_declaration
69,Line,Remove the entry from the import inspection dialog.,1,entries.remove(entry);,method_call
70,Line,"Second, check if the duplicate is of another entry in the import:",0,other = findInternalDuplicate(entry);,assignment
71,Line,TODO: Remove old entry. Or... add it to a list of entries to be deleted. We only delete it after Ok is clicked. entriesToDelete.add(other.get()),0,} else if (result == DuplicateResolverDialog.DuplicateResolverResult.KEEP_RIGHT) {,conditional
72,Line,Taken from https://stackoverflow.com/questions/23326562/apache-pdfbox-convert-pdf-to-images,0,"public Image render(int width, int height) {",method_declaration
73,Line,Check if this looks like a remote link:,1,if (REMOTE_LINK_PATTERN.matcher(link).matches()) {,conditional
74,Line,Get list of exporters and sort before adding to file dialog,1,List<Exporter> exporters = Globals.exportFactory.getExporters().stream(),assignment
75,Line,Save all properties dependent on the ID. This makes it possible to restore them.,0,new SharedDatabasePreferences(context.getDatabase().generateSharedDatabaseID()),method_declaration
76,Line,Initialize protected terms loader,1,Globals.protectedTermsLoader = new ProtectedTermsLoader(Globals.prefs.getProtectedTermsPreferences());,assignment
77,Block,"Returns MenuItemContainer node associated with this menu item which can contain: 1. label node of type Label for displaying menu item text, 2. right node of type Label for displaying accelerator text,or an arrow if it's a Menu, 3. graphic node for displaying menu item icon, and 4. left node for displaying either radio button or check box.This is basically rewritten impl_styleableGetNode() which should not be used since it's marked as deprecated.",0,private static Label getAssociatedNode(MenuItem menuItem) {,method_declaration
78,Line,setContentType(CONTENT_TYPE),0,public DiffHighlightingTextPane() {,method_declaration
79,Javadoc,Sets the name and the abbreviation of the {@code currentAbbreviation} property to the values of the {@code abbreviationsName} and {@code abbreviationsAbbreviation} properties.,0,"private void setCurrentAbbreviationNameAndAbbreviationIfValid(String name, String abbreviation) {",method_declaration
80,Line,"Finally, go through all citation markers, and update those referring to entries in our current list:",0,int maxAuthorsFirst = style.getIntCitProperty(OOBibStyle.MAX_AUTHORS_FIRST);,assignment
81,Line,describe advanced search expression,0,"textFlow.getChildren().add(TooltipTextUtil.createText(String.format(%s """,method_call
82,Line,if we're going to override some cite keys warn the user about it,0,} else if (entries.parallelStream().anyMatch(BibEntry::hasCiteKey)) {,conditional
83,Javadoc,"This method is called after the new database has been added to the GUI, if the isActionNecessary() method returned true. Note: if several such methods need to be called sequentially, it is important that all implementations of this method do not return until the operation is finished.",0,"void performAction(BasePanel panel, ParserResult pr);",method_declaration
84,Javadoc,"Searches recursively all files in the specified directory. <br> <br> All files matched by the given {@link UnlinkedPDFFileFilter} are taken into the resulting tree. <br> <br> The result will be a tree structure of nodes of the type {@link CheckBoxTreeItem}. <br> <br> The user objects that are attached to the nodes is the {@link FileNodeWrapper}, which wraps the {@link File}-Object. <br> <br> For ensuring the capability to cancel the work of this recursive method, the first position in the integer array 'state' must be set to 1, to keep the recursion running. When the states value changes, the method will resolve its recursion and return what it has saved so far.",0,"private CheckBoxTreeItem<FileNodeWrapper> searchDirectory(File directory, UnlinkedPDFFileFilter ff) {",method_declaration
85,Javadoc,This method attaches a linked file from a URL (if not already linked) to an entry using the key and value pair from the findFullTexts map and then downloads the file into the given targetDirectory,0,"private void addLinkedFileFromURL(URL url, BibEntry entry, Path targetDirectory) {",method_declaration
86,Line,init paste handler for URLEditor to format pasted url link in textArea,0,textArea.setPasteActionHandler(() -> textArea.setText(new CleanupURLFormatter().format(new TrimWhitespaceFormatter().format(textArea.getText()))));,method_call
87,Javadoc,Create a new SuggestionProviderString,1,"public SuggestionProviderString(Callback<T, String> stringConverter) {",method_declaration
88,Line,Set the new sections name to 'Child_Section',1,xChildNamed.setName(OOBibBase.BIB_SECTION_NAME);,method_call
89,Line,"Ok, done. Then try to gather in all we have found. Since we might have found one or more bibtex results, it's best to gather them in a BibDatabase.",0,ParserResult bibtexResult = mergeImportResults(imports);,assignment
90,Line,TODO: can we find out whether the save was actually done or not?,0,nan,empty
91,Javadoc,This method shall be used to add a new journal abbreviation file to the set of journal abbreviation files. It basically just calls the {@link #openFile(Path)}} method,0,public void addNewFile() {,method_declaration
92,Line,"UndoableAddOrRemoveGroup undo = new UndoableAddOrRemoveGroup(groupsRoot, new GroupTreeNodeViewModel(newGroups), UndoableAddOrRemoveGroup.ADD_NODE); ce.addEdit(undo);",1,.ifPresent(newGroups::moveTo);,method_call
93,Line,"no new version could be found, only respect the ignored version on automated version checks",0,if (!newerVersion.isPresent() || (newerVersion.get().equals(toBeIgnored) && !manualExecution)) {,conditional
94,Line,Compare the deleted entry in memory with the one in the tmpfile. The entry could have been removed in memory.,0,"double matchWithTmp = DuplicateCheck.compareEntriesStrictly(memEntry, tmpEntry);",assignment
95,Line,retrieve bookmark by name,1,if (!xNamedBookmarks.hasByName(name)) {,conditional
96,Line,Run validation checks,1,if (!validSettings()) {,conditional
97,Line,Be happy with the first found BibEntry and move on to next key,1,nan,empty
98,Block,css: open-in-app *,1,CONNECT_OPEN_OFFICE(MaterialDesignIcon.OPEN_IN_APP),method_declaration
99,Javadoc,Fills the current values to the text fields,0,public void setValues(AbstractBibtexKeyPattern keyPattern) {,method_declaration
100,Javadoc,Create a default suggestion provider based on the toString() method of the generic objects,0,public static <T> SuggestionProvider<T> create(Collection<T> possibleSuggestions) {,method_declaration
101,Line,The lines above work also if the dir does not exist at all! NULL is accepted by the filechooser as no inital path,0,if (!Files.exists(directory)) {,conditional
102,Block,css: paperclip*,1,ATTACH_FILE(MaterialDesignIcon.PAPERCLIP),method_declaration
103,Javadoc,Converts the citations into the RTF format.,0,protected static ClipboardContent processRtf(List<String> citations) {,method_declaration
104,Line,PushToApplication,1,final PushToApplicationAction pushToApplicationAction = pushToApplicationsManager.getPushToApplicationAction();,assignment
105,Javadoc,Returns the default context menu items (except undo/redo),0,public static List<MenuItem> getDefaultContextMenuItems(TextInputControl textInputControl) {,method_declaration
106,Line,use preferences value if no DB is open,0,mode = Globals.prefs.getDefaultBibDatabaseMode();,assignment
107,Javadoc,We have to use supplier for the localized text so that language changes are correctly reflected.,0,"SearchDisplayMode(Supplier<String> displayName, Supplier<String> toolTipText) {",method_declaration
108,Line,TODO: switch Icon color searchIcon.setIcon(IconTheme.JabRefIcon.ADVANCED_SEARCH.getIcon()),0,} else {,conditional
109,Line,We have overwritten the marker for the start of the reference list. We need to add it again.,0,cursor.collapseToEnd();,method_call
110,Line,Create and run cleaner,1,"CleanupWorker cleaner = new CleanupWorker(panel.getBibDatabaseContext(), preferences.getCleanupPreferences(",assignment
111,Line,"If we found it, remove it from the type list:",1,if (toRemove != null) {,conditional
112,Block,Work around for different input methods. https://github.com/FXMisc/RichTextFX/issues/146,0,private class InputMethodRequestsObject implements InputMethodRequests {,class_declaration
113,Javadoc,"This class represents a change in any field value. The relevant information is the BibEntry, the field name, the old and the new value. Old/new values can be null.",0,public class UndoablePreambleChange extends AbstractUndoableJabRefEdit {,class_declaration
114,Line,Parse the temporary file.,0,ImportFormatPreferences importFormatPreferences = Globals.prefs.getImportFormatPreferences();,assignment
115,Line,Show progress indicator,1,ProgressIndicator progress = new ProgressIndicator();,assignment
116,Line,Fail on unsupported Java versions,0,ensureCorrectJavaVersion();,method_declaration
117,Javadoc,Get the string associated with this file type's icon.,0,public String getIconName() {,method_declaration
118,Line,things to be appended to an opened tab should be done after opening all tabs add them to the list,0,toOpenTab.add(pr);,method_call
119,Line,setTitle(FRAME_TITLE),0,return;,return
120,Line,we do not trim the value at the assignment to enable users to have spaces at the beginning and at the end of the pattern,0,if (!text.trim().isEmpty()) {,conditional
121,Line,jni convenience: easier to iterate over array than calling Hashtable,0,String pairs[] = null;,assignment
122,Line,"create menu items, one for each case changer",0,List<Formatter> caseChangers = new ArrayList<>();,assignment
123,Line,We import all files and collect their results:,0,List<ImportFormatReader.UnknownFormatImport> imports = new ArrayList<>();,assignment
124,Javadoc,Constructs a {@link ListCell} based on the view model of the row and a bunch of specified converter methods.,0,"public class ViewModelListCellFactory<T> implements Callback<ListView<T>, ListCell<T>> {",class_declaration
125,Line,"TODO: Store undo if (!undo.isEmpty()) { groupSelector.concludeAssignment(UndoableChangeEntriesOfGroup.getUndoableEdit(target, undo), target.getNode(), assignedEntries);",0,nan,empty
126,Line,"TODO: This means a duplicate string name exists, so it's not a very exceptional situation. We should maybe give a warning...?",0,database.addString((BibtexString) bs.clone());,method_call
127,Javadoc,Dialog shown when closing of application needs to wait for a save operation to finish.,0,public class WaitForSaveFinishedDialog {,class_declaration
128,Line,TODO: Find a better way to update preview,0,basePanel.closeBottomPane();,method_call
129,Line,"We are alone, so we start the server",0,"Globals.REMOTE_LISTENER.openAndStart(new JabRefMessageHandler(), remotePreferences.getPort());",method_call
130,Javadoc,"Keep track of changes made to the columns, like reordering or resizing.",0,public class PersistenceVisualStateTable {,class_declaration
131,Line,the encoding of shared database is always UTF-8,0,encodingDisableProperty.setValue(isShared);,method_call
132,Line,replace the placeholder if used,0,"command = command.replace(%DIR""",assignment
133,Line,"If the file is an ordinary file (i.e. not a resource part of a .jar bundle), we watch it for changes and turn on live reloading",0,"if (!cssUri.toString().contains(jar"")) {""",conditional
134,Line,Shift on Windows or no modifier,0,"LOGGER.debug(Mode LINK"");""",method_call
135,Line,Show tooltips,0,if (command instanceof SimpleCommand) {,conditional
136,Javadoc,This class provides a editable text field that is used as table cell. It handles the editing of the name column.,0,"public class JournalAbbreviationsNameTableEditingCell extends TableCell<AbbreviationViewModel, String> {",class_declaration
137,Line,"return the first one we found, anyway.",0,return Optional.of(suffix);,return
