,comment,non-information,code,functional_type
0,Set some global variables,yes,try: import agorartc RTC = agorartc.createRtcEngineBridge() eventHandler = agorartc.RtcEngineEventHandlerBase() RTC.initEventHandler(eventHandler),assignment
1,0xFFFFFFFE will exclude Chinese servers from Agora's servers.,no,"RTC.initialize(Clubhouse.AGORA_KEY, None, agorartc.AREA_CODE_GLOB & 0xFFFFFFFE)",method_call
2,(Clubhouse) -> NoneType Main function for chat,yes,def chat_main(client),method_declaration
3,Delete event.,yes,"def delete_event(self, event_id, user_ids=None, club_id=None, is_member_only=False, event_hashid=None, description=None, time_start_epoch=None, name=None): data = { ""user_ids"": user_ids, ""club_id"": club_id, ""is_member_only"": is_member_only, ""event_id"": event_id, ""event_hashid"": event_hashid, ""description"": description, ""time_start_epoch"": time_start_epoch, ""name"": name } req = requests.post(f""{self.API_URL}/delete_event"", headers=self.HEADERS, json=data) return req.json()",method_declaration
4,Join the given channel,yes,"def join_channel(self, channel, attribution_source=""feed""): data = { ""channel"": channel, ""attribution_source"": attribution_source, ""attribution_details"": ""eyJpc19leHBsb3JlIjpmYWxzZSwicmFuayI6MX0="",} req = requests.post(f""{self.API_URL}/join_channel"", headers=self.HEADERS, json=data) return req.json()",method_declaration
5,"Find the singleton counter for the current scoped graph.  If it doesn't exist, create one.",no,"xla_scope_counter = ops.get_collection(_XLA_SCOPE_KEY) if not xla_scope_counter: xla_scope_counter = _XlaScope(0, 0) ops.add_to_collection(_XLA_SCOPE_KEY, xla_scope_counter) else: xla_scope_counter = xla_scope_counter[0]",assignment
6,Check that the must-compile attribute gets correctly propagated to the created derivatives.,no," self.assertTrue(forward.definition.attr[""_XlaMustCompile""]) self.assertTrue(backward.function_def.attr[""_XlaMustCompile""])",method_call
7,Checking that we crash on an unsupported operation lets us test that the XLA compiler was actually invoked.,no,"def testUnsupportedOps(self): with ops.Graph().as_default() as g: def fn(x): return array_ops.unique(x).y  # Unique is not supported by XLA xla_func = def_function.function(fn, jit_compile=True) inputs = array_ops.placeholder(dtypes.float32, [5]) x = xla_func(inputs) with self.assertRaisesRegex(errors.InvalidArgumentError, ""not compilable""): with session.Session(graph=g) as sess: sess.run(x, feed_dict={inputs: [1, 2, 2, 3, 3]})",method_declaration
8,Just for authenticating the user.,yes,"if not result['success']: print(f""[-] Error occured during authentication. ({result['error_message']})"") continue break result = None while True: verification_code = input(""[.] Please enter the SMS verification code (1234, 0000, ...) > "") result = client.complete_phone_number_auth(user_phone_number, verification_code) if not result['success']: print(f""[-] Error occured during authentication. ({result['error_message']})"") continue break user_id = result['user_profile']['user_id'] user_token = result['auth_token'] user_device = client.HEADERS.get(""CH-DeviceId"") write_config(user_id, user_token, user_device) print(""[.] Writing configuration file complete."") if result['is_waitlisted']: print(""[!] You're still on the waitlist. Find your friends to get yourself in."") return client = Clubhouse( user_id=user_id, user_token=user_token, user_device=user_device ) if result['is_onboarding']: process_onboarding(client) return",method_declaration
9,recursive Fibonacci,yes,"def fib(i): if i <= 2: return 1; else: f = fib(i-1) + fib(i-2) print('calc', i) return f print(fib(6))",method_declaration
10,Check response status and throw corresponding exception on failure,yes,"def check_response_status(self, response): code = response.status_code if code < 200 or code >= 300: try: message = response.json()[""description""] except Exception: message = "" "" logger.debug(f'Error received: status code: {code}, message: ""{message}""') if code == 400: raise BadRequestException(response) elif response.status_code == 401: raise AuthenticationException() elif response.status_code == 403: raise AuthorizationException() elif response.status_code == 404: if message != "" "": raise NotFoundException(message) else: raise NotFoundException elif response.status_code == 429: raise OverLimitException(message) elif response.status_code == 502: raise BadGatewayException() elif response.status_code == 504: raise GatewayTimeoutException(message) elif response.status_code == 423: raise LockedException(message) elif 500 <= response.status_code < 600: if ""Server under maintenance"" in response.content.decode(): raise ServerException( ""Server under maintenance, please try again later."" ) else: raise ServerException() else: msg = ""An error occurred. Server response: {}"".format( response.status_code ) raise HubException(message=msg)",method_declaration
11,Joins given arguments into a url. Trailing but not leading slashes are stripped for each argument.,yes,"def urljoin(*args): return ""/"".join(map(lambda x: str(x).strip(""/""), args))",method_declaration
